appid,name
537800,Bomber Crew
539470,Police Stories
541300,Survive the Nights
541570,Sally Face - Episode One
542340,Slingshot people
544330,Snake Pass
544750,SOULCALIBUR VI
544920,Darwin Project
545110,Driver Booster 4 for Steam
546050,Puyo PuyoTetris
548570,RAGE 2
550470,NosTale - Anime MMORPG
552620,ATOM RPG: Post-apocalyptic indie game
553640,ICEY
555220,Detention
557180,League of Maidens
557340,My Friend Pedro
558100,Art of War: Red Tides
559650,Witch It
562010,Tanki Online
562360,"Planes, Bullets and Vodka"
562810,MONOPOLY PLUS
563120,Desolate Wastes: Vendor Chronicles
563560,Alien Swarm: Reactive Drop
564710,Soda Dungeon
567640,Danganronpa V3: Killing Harmony
567680,The Pasture
570780,古剑奇谭(GuJian)
572890,Pikuniku
573090,Stormworks: Build and Rescue
574820,Cat or Bread?
575110,Magic Lantern
578330,LEGO City Undercover
578650,The Outer Worlds
584400,Sonic Mania
585420,Trailmakers
585690,Minimalism
587620,Okami HD
588140,ESCAPE FROM VOYNA: Dead Forest
589290,Holdfast: Nations At War
589360,Ni no Kuni II: Revenant Kingdom
589870,Learn to Fly 3
591740,Sniper Fury
592600,PRO EVOLUTION SOCCER 2018 LITE
593280,Cat Quest
595520,FINAL FANTASY XII THE ZODIAC AGE
596970,Sunless Skies: Sovereign Edition
597170,Clone Drone in the Danger Zone
597220,West of Loathing
598980,The Coin Game
599390,Battle for Wesnoth
602520,NEKOPARA Vol. 3
603850,Age of History II
604240,Shotgun Farmers: Grow Your Guns
605740,"Flashing Lights - Police, Firefighting, Emergency Services Simulator"
606880,GreedFall
607050,Wargroove
607260,McOsu
608990,The Archotek Project
609320,FAR: Lone Sails
610080,Realm Grinder
611660,Fallout 4 VR
611670,The Elder Scrolls V: Skyrim VR
611790,House Party
613010,Secret in Story
614570,Dishonored: Death of the Outsider
616560,Ultimate Epic Battle Simulator
617830,SUPERHOT VR
619150,while True: learn()
620590,Ancestors Legacy
625340,XERA: Survival
625960,Stoneshard
626690,Sword Art Online: Fatal Bullet
627270,Injustice 2
631510,Devil May Cry HD Collection
632350,Cyberdimension Neptunia: 4 Goddesses Online
638230,Journey
641320,Cooking Simulator
644830,The Surge 2
649190,Blast Zone! Tournament
650700,Yume Nikki
652980,Loading Screen Simulator
653530,Return of the Obra Dinn
654880,Dream Daddy: A Dad Dating Simulator
654990,Dude Simulator
655500,MX Bikes
658850,Do Not Feed the Monkeys
666860,Bit Heroes
667530,Drunken Wrestlers 2
667720,Red Faction Guerrilla Re-Mars-tered
667890,Dead Maze
668630,Tricolour Lovestory
670290,Real Pool 3D - Poolians
672680,Call of War: World War 2
673880,"Warhammer 40,000: Mechanicus"
677120,Heroes of Hammerwatch
678800,SAS: Zombie Assault 4
680780,DEATH TRAIN - Warning: Unsafe VR Experience
682990,Drug Dealer Simulator
686200,Door Kickers: Action Squad
688420,Bad North: Jotunn Edition
688470,汉匈决战/Han Xiongnu Wars
690040,SUPERHOT: MIND CONTROL DELETE
690510,Immortal Soul: Black Survival
690530,灵魂筹码 Soul at Stake
690640,Trine 4: The Nightmare Prince
690830,Foundation
691690,Ash of Gods: Redemption
692850,Bloodstained: Ritual of the Night
694280,Zombie Army 4: Dead War
700600,Evil Genius 2: World Domination
701160,Kingdom Two Crowns
704450,Neverwinter Nights: Enhanced Edition
707010,Will To Live Online
710920,Darksiders Genesis
711810,Never Split the Party
712100,A Total War Saga: THRONES OF BRITANNIA
715220,Ironsight
718670,Cultist Simulator
724970,神舞幻想 Faith of Danschant
728530,SD GUNDAM G GENERATION CROSS RAYS
728540,Islands of Nyne: Battle Royale
729040,Borderlands Game of the Year Enhanced
731490,Crash Bandicoot N. Sane Trilogy
732370,Juicy Realm
732430,Superflight
732690,FIVE NIGHTS AT FREDDY'S: HELP WANTED
734580,BattleRush
736190,Chinese Parents
736260,Baba Is You
737800,F1 2018
743450,Monster Prom
745920,Temtem
746850,Cloudpunk
747610,ZULA LatinoAmerica
747660,Five Nights at Freddy's: Security Breach
751780,Forager
753420,Dungreed
753640,Outer Wilds
758190,Dragon Cliff
760060,Mutant Year Zero: Road to Eden
760510,Cat Burglar: A Tail of Purrsuit
764030,Realm Revolutions
773951,Freeman: Guerrilla Warfare
774241,Warhammer: Chaosbane
774361,Blasphemous
775500,SCARLET NEXUS
785740,This Is the Police 2
787480,Phoenix Wright: Ace Attorney Trilogy
790710,World of Warplanes
790740,Tick Tock: A Tale for Two
792220,Paunch
794260,Outward Definitive Edition
795100,Friday the 13th: Killer Puzzle
799960,Wizard101
805550,Assetto Corsa Competizione
813630,Supraland
814370,Monster Sanctuary
814540,Changed
826630,Iron Harvest
828740,Tales of the Neon Sea
834530,Yakuza Kiwami
835860,Dreadnought
837470,Untitled Goose Game
838380,DEAD OR ALIVE 6
843380,Super Animal Royale
847370,Sunset Overdrive
851850,DRAGON BALL Z: KAKAROT
858810,Dawn of Man
859570,Secret Neighbor: Hello Neighbor Multiplayer
859580,Imperator: Rome
860510,Little Nightmares II
866800,The Walking Dead: The Final Season
874240,MU Legend
879160,Battlerite Royale
882100,XCOM: Chimera Squad
882790,Fate Seeker
885970,Total War: ROME REMASTERED
891040,Pool 2D - Poolians
895400,Deadside
895870,Project Wingman
897330,Coloring Pixels
903950,Last Oasis
905640,Combat Arms: Reloaded
909080,Cube Escape: Paradox
915320,Pixel Strike 3D
916440,Anno 1800
916840,The Walking Dead: Saints & Sinners
920210,LEGO Star Wars: The Skywalker Saga
921060,Modern Combat 5
921590,DISSIDIA FINAL FANTASY NT Free Edition
924140,Hand Simulator: Survival
928600,F1 2019
931690,Himno
933110,Age of Empires III: Definitive Edition
934840,FrostRunner
939850,The Dark Pictures Anthology: Man of Medan
941460,Death Trash
946050,Soda Dungeon 2
950100,PRO EVOLUTION SOCCER 2019 LITE
950670,Gothic Playable Teaser
952070,RESIDENT EVIL RESISTANCE
953490,CARRION
954740,Terminator: Resistance
955900,Amazing Cultivation Simulator
960170,DJMAX RESPECT V
960910,Heavy Rain
960990,Beyond: Two Souls
962730,Skater XL - The Ultimate Skateboarding Game
970830,The Dungeon Of Naheulbeuk: The Amulet Of Chaos
972660,Spiritfarer: Farewell Edition
973580,Sniper Ghost Warrior Contracts
973760,Thronebreaker: The Witcher Tales
977400,Cell to Singularity - Evolution Never Ends
979690,The Ascent
981890,Olympic Games Tokyo 2020 – The Official Video Game
985890,Streets of Rage 4
987350,PlanetSide Arena
991780,Notes of Soul
992300,嗜血印 Bloody Spell
994280,古剑奇谭三(Gujian3)
996580,Spyro Reignited Trilogy
997010,Police Simulator: Patrol Officers
997070,Marvel's Avengers
999220,Amnesia: Rebirth
1007040,EARTH DEFENSE FORCE 5
1009850,OVR Advanced Settings
1012880,60 Seconds! Reatomized
1016800,Chernobylite Enhanced Edition
1016920,Unrailed!
1017180,The Long Drive
1017900,Age of Empires: Definitive Edition
1022450,War Selection
1025580,Vainglory
1026820,Coloring Game
1029780,Going Medieval
1036700,My Beautiful Paper Smile
1041320,Lords Mobile
1041720,Kingdoms of Amalur: Re-Reckoning
1044200,Wasteland Survival
1046030,ISLANDERS
1048540,Kao the Kangaroo: Round 2 (2003 re-release)
1049800,BLOCKADE
1056600,Home Sweet Home : Survive
1061090,Jump King
1061910,Metal: Hellsinger
1062090,Timberborn
1064610,Neon Beats
1066780,Transport Fever 2
1071870,Biped
1078730,Soccer Manager 2020
1088710,Yakuza 3 Remastered
1089130,Quake II RTX
1092660,Blair Witch
1094520,Sands of Salzaar
1096530,Solasta: Crown of the Magister
1104450,Bombergrounds: Battle Royale
1104640,New Frontier
1105670,The Last Spell
1106840,Hydroneer
1106850,Totally Reliable Delivery Service Beta
1108320,妄想破绽 Broken Delusion
1113560,NieR Replicant ver.1.22474487139...
1115690,"Yes, Your Grace"
1116960,UNDEFEATED
1118310,RetroArch
1120810,Eastern Exorcist
1121910,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator"
1124300,HUMANKIND
1127400,Mindustry
1127500,Mini Motorways
1128000,Cube World
1129580,Medieval Dynasty
1140620,CosmicBreak Universal
1147550,Not For Broadcast
1147690,NGU IDLE
1149460,ICARUS
1149620,Gas Station Simulator
1150690,OMORI
1154790,XIII
1161580,Hardspace: Shipbreaker
1162520,Richman10
1164850,Sinking Simulator
1170880,Grimm's Hollow
1173370,Slapshot: Rebound
1178490,港詭實錄ParanormalHK
1180660,Tell Me Why
1189490,觅长生
1189630,Path Of Wuxia
1190000,Car Mechanic Simulator 2021
1195460,Last Year
1201240,BLEACH Brave Souls
1203630,Record of Lodoss War-Deedlit in Wonder Labyrinth-
1207650,Suzerain
1209040,Cyber Hunter
1210320,Potion Craft: Alchemist Simulator
1211020,Wobbly Life
1213740,She Will Punish Them
1218740,Rakion Chaos Force
1222690,Dragon Age Inquisition
1222730,STAR WARS: Squadrons
1225570,Unravel Two
1227530,Partisans 1941
1233570,Mirror's Edge Catalyst
1236300,Resident Evil Re:Verse
1237980,STAR WARS Battlefront
1238040,Dragon Age II: Ultimate Edition
1238060,Dead Space 3
1238820,Battlefield 3
1241100,POLYGON: Multiplayer Shooter
1241110,ANARCHY
1244460,Jurassic World Evolution 2
1252330,DEATHLOOP
1256670,Library Of Ruina
1262240,Plants vs. Zombies: Battle for Neighborville
1262540,Need for Speed
1262560,Need for Speed Most Wanted
1262600,Need for Speed Rivals
1264670,The Wind Road
1266680,Strobophagia | Rave Horror
1267910,Melvor Idle
1275350,Ninja Kiwi Archive
1282590,Train Sim World 2
1282690,Crysis 3
1283220,Devolverland Expo
1284190,The Planet Crafter
1284210,Guild Wars 2
1285670,Post Void
1286680,Tiny Tina's Wonderlands
1288310,Firework
1290000,PowerWash Simulator
1291340,Townscaper
1292630,3on3 FreeStyle: Rebound
1296830,暖雪 Warm Snow
1301720,Escape Room - Der kranke Kollege
1302240,Labyrinthine
1304400,The End of Dyeus
1307550,Craftopia
1325200,Nioh 2 – The Complete Edition
1325860,VTube Studio
1328670,Mass Effect Legendary Edition
1349230,5D Chess With Multiverse Time Travel
1359090,Zero Hour
1361000,In Silence
1361210,"Warhammer 40,000: Darktide"
1364960,Hello Neighbor 2 Alpha 1.5
1372640,Candle In Darkness
1384160,GUILTY GEAR -STRIVE-
1388770,Cruelty Squad
1388880,Doki Doki Literature Club Plus!
1397920,Mr.Mine
1401750,Mission Z
1407530,Warrior Beneath Heaven
1408680,Nine to Five
1418630,Dread Hunger
1436930,Temple of Apshai Trilogy
1444740,Maniac Path
1448530,Soccer Manager 2021
1455840,Dorfromantik
1468260,Leaf Blower Revolution - Idle Game
1469280,SuchArt: Creative Space
1473480,A.V.A
1475380,TheDawn
1476720,Retro Run
1476970,Legends of IdleOn - Idle MMO
1490890,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles
1504570,Cultivation Tales
1506630,Minicraft Shooter
1543030,Sword and Fairy 7
1549970,Aliens: Fireteam Elite
1552620,Expedition Agartha
